FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะทันตแพทยศาสตร์","3207644","INST TEST DENT MAT",1,1,"IA","IA","LECT","DEN16","508","STAFF","S",15
"คณะทันตแพทยศาสตร์","3207645","RES APP DENT",1,1,"IA","IA","LECT","DEN16","508","STAFF","S",12
"คณะทันตแพทยศาสตร์","3207646","DENTAL CERAMICS",1,1,"IA","IA","LECT","DEN16","508","STAFF","S",12
"คณะทันตแพทยศาสตร์","3207648","DENT MET SCI IMPL",1,1,"IA","IA","LECT","DEN16","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207651","COMP PROSTH CLIN",1,4,"IA","IA","CLIN","DENT5","201","STAFF","S",1
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",1,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",2,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",3,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",4,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",5,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",6,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",7,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",8,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",9,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",10,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",11,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",12,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",13,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",14,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",15,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",16,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",17,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",18,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",19,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",20,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",21,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",22,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",23,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",24,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207652","PROSTH CLIN II",25,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207707","PROSTH CLIN I",1,5,"0900","1600","PRAC","DEN15","IA","STAFF","S",25
"คณะทันตแพทยศาสตร์","3207708","PROSTH CLIN II",1,7,"IA","IA","PRAC","DENT5","303","STAFF","S",15
"คณะทันตแพทยศาสตร์","3207708","PROSTH CLIN II",2,7,"IA","IA","PRAC","DENT5","303","STAFF","S",15
"คณะทันตแพทยศาสตร์","3207708","PROSTH CLIN II",3,7,"IA","IA","PRAC","DENT5","303","STAFF","S",15
"คณะทันตแพทยศาสตร์","3207711","PROSTH PLAN SEM I",1,1,"0800","1600","LECT","DEN15","IA","STAFF","S",25
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",1,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",2,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",3,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",4,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",5,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",6,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",7,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",8,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",9,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207712","PROSTH PLAN SEM II",10,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207715","PROSTH LIT SEM I",1,1,"0800","1600","LECT","DEN15","IA","STAFF","S",25
"คณะทันตแพทยศาสตร์","3207716","PROSTH LIT SEM II",1,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207716","PROSTH LIT SEM II",2,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207716","PROSTH LIT SEM II",3,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207716","PROSTH LIT SEM II",4,1,"0800","1630","LECT","DEN15","IA","STAFF","S",10
