FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะอักษรศาสตร์","2225102","KOREAN II",1,3,"1500","1600","DISC","BRK","407","HJY","S",21
"คณะอักษรศาสตร์","2225102","KOREAN II",2,3,"1600","1700","DISC","MCS","50125","HJY","S",23
"คณะอักษรศาสตร์","2225102","KOREAN II",2,3,"1700","1900","LECT","MCS","50125","TSS","S",23
"คณะอักษรศาสตร์","2225201","KOREAN III",1,3,"1300","1500","LECT","BRK","412","CKN","S",40
"คณะอักษรศาสตร์","2225201","KOREAN III",1,3,"1500","1600","DISC","BRK","412","HJY","S",40
"คณะอักษรศาสตร์","2225201","KOREAN III",2,3,"1600","1800","LECT","MCS","50125","CKN","S",40
"คณะอักษรศาสตร์","2225201","KOREAN III",2,3,"1800","1900","DISC","MCS","50125","HJY","S",40
"คณะอักษรศาสตร์","2225203","KOREAN READING I",1,3,"1300","1500","LECT","BRK","312","SBR","S",20
"คณะอักษรศาสตร์","2225203","KOREAN READING I",1,3,"1500","1600","DISC","BRK","312","SBR","S",20
"คณะอักษรศาสตร์","2225205","KOREAN GRAMMAR I",1,3,"1600","1800","LECT","MCS","40116","SBR","S",40
"คณะอักษรศาสตร์","2225205","KOREAN GRAMMAR I",1,3,"1800","1900","DISC","MCS","40116","SBR","S",40
"คณะอักษรศาสตร์","2225206","KOREAN CULTURE",1,3,"1300","1600","LECT","BRK","311","STS","S",25
"คณะอักษรศาสตร์","2225211","KR LIST/SPK I",1,3,"1300","1500","LECT","MCS","401/4","HJY","S",20
"คณะอักษรศาสตร์","2225211","KR LIST/SPK I",1,3,"1500","1600","DISC","MCS","401/4","HJY","S",20
"คณะอักษรศาสตร์","2225305","KOREA TODAY",1,3,"1200","1500","LECT","MCS","709","CKN,HJY","S",20
"คณะอักษรศาสตร์","2225501","BASIC KOREAN I",1,3,"0900","1100","LECT","VIDHA","AR","CKN","S",10
"คณะอักษรศาสตร์","2225501","BASIC KOREAN I",1,3,"1100","1200","PRAC","VIDHA","AR","CKN","S",10
"คณะอักษรศาสตร์","2225501","BASIC KOREAN I",1,3,"AR","AR","PRAC","AR","AR","CKN","S",10
"คณะอักษรศาสตร์","2225504","INTERMED KR I",1,3,"0900","1100","LECT","VIDHA","AR","IPT","S",10
"คณะอักษรศาสตร์","2225504","INTERMED KR I",1,3,"1100","1200","PRAC","VIDHA","AR","IPT","S",10
"คณะอักษรศาสตร์","2225504","INTERMED KR I",1,3,"AR","AR","PRAC","AR","AR","IPT","S",10
"คณะอักษรศาสตร์","2226101","VIETNAMESE I",1,3,"1600","1800","LECT","MCS","40117","MRT","S",30
"คณะอักษรศาสตร์","2226101","VIETNAMESE I",1,3,"1600","1800","PRAC","MCS","40117","TKK","S",30
"คณะอักษรศาสตร์","2226101","VIETNAMESE I",2,3,"1600","1800","LECT","MCS","50117","MRT","S",30
"คณะอักษรศาสตร์","2226101","VIETNAMESE I",2,3,"1600","1800","PRAC","MCS","50117","TKK","S",30
"คณะอักษรศาสตร์","2226201","VIETNAMESE III",1,3,"1600","1800","LECT","MCS","601/9","MRT","S",20
"คณะอักษรศาสตร์","2226201","VIETNAMESE III",1,3,"1800","1900","DISC","MCS","601/9","MRT","S",20
"คณะอักษรศาสตร์","2226301","VIETNAMESE V",1,3,"1300","1500","LECT","MCS","40112","TKK","S",10
"คณะอักษรศาสตร์","2226301","VIETNAMESE V",1,3,"1500","1600","DISC","MCS","40112","TKK","S",10
"คณะอักษรศาสตร์","2227001","BURMESE I",1,3,"1300","1500","LECT","BRK","512","TTM","S",40
"คณะอักษรศาสตร์","2227001","BURMESE I",1,3,"1500","1600","LAB","BRK","512","TTM","S",40
"คณะอักษรศาสตร์","2227001","BURMESE I",1,3,"IA","IA","TUT","IA","IA","TTM","S",40
"คณะอักษรศาสตร์","2228101","ARABIC I",1,3,"1300","1400","LECT","MCS","501/9","MAD","S",40
"คณะอักษรศาสตร์","2228101","ARABIC I",1,3,"1400","1600","DISC","MCS","501/9","MAD","S",40
"คณะอักษรศาสตร์","2228104","ARABIC III",1,3,"1600","1700","LECT","MCS","60121","MAD","S",10
"คณะอักษรศาสตร์","2228104","ARABIC III",1,3,"1700","1900","DISC","MCS","60121","MAD","S",10
"คณะอักษรศาสตร์","2228105","ARABIC CONVER I",1,3,"1600","1700","LECT","MCS","50113","DNW","S",40
"คณะอักษรศาสตร์","2228105","ARABIC CONVER I",1,3,"1700","1900","DISC","MCS","50113","DNW","S",40
"คณะอักษรศาสตร์","2228106","ARABIC CONVER II",1,3,"1600","1900","DISC","MCS","60119","MAD","S",20
"คณะอักษรศาสตร์","2228203","ARAB CIV",1,3,"1300","1600","LECT","MCS","50117","STAFF","S",40
"คณะอักษรศาสตร์","2228204","INTRO ARAB LING",1,3,"1600","1700","LECT","MCS","60113","STAFF","S",30
"คณะอักษรศาสตร์","2228204","INTRO ARAB LING",1,3,"1700","1900","DISC","MCS","60113","STAFF","S",30
"คณะอักษรศาสตร์","2228207","ARAB TOURISM",1,3,"1600","1700","LECT","MCS","60123","SML","S",20
"คณะอักษรศาสตร์","2228207","ARAB TOURISM",1,3,"1700","1900","DISC","MCS","60123","SML","S",20
"คณะอักษรศาสตร์","2231010","BAS FR I",1,3,"0800","1100","LECT","BRK","608","WKC","I",30
"คณะอักษรศาสตร์","2231120","INT FR I",1,3,"0800","1100","LECT","BRK","504","STAFF","I",30
"คณะอักษรศาสตร์","2231131","FRENCH I",1,3,"0800","0900","LAB","MCS","703","JRP","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",1,3,"0900","1000","PRAC","BRK","413","JRP","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",1,3,"1100","1230","LECT","BRK","313","SCK","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",1,3,"1430","1600","LECT","BRK","313","SCK","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",2,3,"0800","0900","LAB","MCS","704","SVC","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",2,3,"0900","1000","PRAC","BRK","414","SVC","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",2,3,"1100","1230","LECT","BRK","314","PMN","S",25
"คณะอักษรศาสตร์","2231131","FRENCH I",2,3,"1430","1600","LECT","BRK","314","PMN","S",25
"คณะอักษรศาสตร์","2231141","FR AS FOREIGN I",1,3,"1600","1800","LECT","MCS","601/7","WKR","S",40
"คณะอักษรศาสตร์","2231141","FR AS FOREIGN I",1,3,"1600","1800","PRAC","MCS","601/7","SVC","S",40
"คณะอักษรศาสตร์","2231141","FR AS FOREIGN I",2,3,"1600","1800","LECT","MCS","60111","ASS","S",20
"คณะอักษรศาสตร์","2231141","FR AS FOREIGN I",2,3,"1600","1800","PRAC","MCS","60111","JRP","S",20
"คณะอักษรศาสตร์","2231161","FR LEGAL I",1,3,"0930","1130","LECT","BRK","512","SSN","S",20
"คณะอักษรศาสตร์","2231161","FR LEGAL I",1,3,"1130","1230","PRAC","BRK","512","SSN","S",20
"คณะอักษรศาสตร์","2231161","FR LEGAL I",1,3,"1500","1600","PRAC","BRK","514","SVC","S",20
"คณะอักษรศาสตร์","2231231","FRENCH III",1,3,"0930","1230","LECT","BRK","514","NSH","S",20
"คณะอักษรศาสตร์","2231231","FRENCH III",1,3,"1000","1100","PRAC","BRK","AR","SVC","S",20
"คณะอักษรศาสตร์","2231231","FRENCH III",1,3,"1100","1200","LAB","BRK","408","JRP","S",20
"คณะอักษรศาสตร์","2231241","FR AS FOREIGN III",1,3,"1600","1900","LECT","MCS","60113","WKC","S",10
"คณะอักษรศาสตร์","2231241","FR AS FOREIGN III",1,3,"1700","1800","PRAC","MCS","60113","SVC","S",10
"คณะอักษรศาสตร์","2231245","FRENCH PHONETICS",1,3,"1300","1500","LECT","BRK","413","WKR","S",30
"คณะอักษรศาสตร์","2231245","FRENCH PHONETICS",1,3,"1500","1600","DISC","BRK","412","JRP","S",30
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",1,3,"1300","1400","PRAC","BRK","313","JRP","S",10
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",1,3,"1300","1500","LECT","BRK","409","JRP","S",10
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",1,3,"1500","1600","DISC","BRK","409","JRP","S",10
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",2,3,"1300","1400","PRAC","BRK","314","SVC","S",10
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",2,3,"1300","1430","LECT","BRK","410","SVC","S",10
"คณะอักษรศาสตร์","2231310","ORAL FRENCH",2,3,"1500","1600","DISC","BRK","410","SVC","S",10
"คณะอักษรศาสตร์","2231319","NON-LIT FR TEXTS",1,3,"0930","1030","LECT","BRK","412","WKR","S",25
"คณะอักษรศาสตร์","2231319","NON-LIT FR TEXTS",1,3,"1030","1230","DISC","BRK","412","WKR","S",25
"คณะอักษรศาสตร์","2231325","FRENCH STRUCTURE",1,3,"1300","1500","LECT","MCS","60110","PMN","S",25
"คณะอักษรศาสตร์","2231325","FRENCH STRUCTURE",1,3,"1500","1600","DISC","MCS","60110","PMN","S",25
"คณะอักษรศาสตร์","2231360","FRENCH LITERATURE",1,3,"0930","1100","LECT","BRK","413","NSH","S",20
"คณะอักษรศาสตร์","2231360","FRENCH LITERATURE",1,3,"1100","1230","DISC","BRK","413","NSH","S",20
"คณะอักษรศาสตร์","2231367","FRENCH POETRY",1,3,"0930","1130","LECT","BRK","513","WUS","S",20
"คณะอักษรศาสตร์","2231367","FRENCH POETRY",1,3,"1130","1230","DISC","BRK","513","WUS","S",20
"คณะอักษรศาสตร์","2231374","FR JNLSM I",1,3,"1300","1400","LECT","BRK","513","PPC","S",20
"คณะอักษรศาสตร์","2231374","FR JNLSM I",1,3,"1400","1600","DISC","BRK","513","PPC","S",20
"คณะอักษรศาสตร์","2231460","FR RES WRIT",1,3,"1000","1100","PRAC","BRK","412","SSN","S",20
"คณะอักษรศาสตร์","2231460","FR RES WRIT",1,3,"1300","1500","LECT","BRK","411","SSN","S",20
"คณะอักษรศาสตร์","2231460","FR RES WRIT",1,3,"1500","1600","PRAC","BRK","411","SSN","S",20
"คณะอักษรศาสตร์","2231462","FRENCH STYLISTICS",1,3,"0900","1100","LECT","BRK","413","ASS","S",20
"คณะอักษรศาสตร์","2231462","FRENCH STYLISTICS",1,3,"1100","1200","DISC","BRK","413","ASS","S",20
"คณะอักษรศาสตร์","2231485","FR FOR BUSINESS",1,3,"1300","1500","LECT","BRK","414","SCK","S",10
"คณะอักษรศาสตร์","2231485","FR FOR BUSINESS",1,3,"1500","1600","DISC","BRK","414","SCK","S",10
"คณะอักษรศาสตร์","2231601","RES METH",1,3,"0900","1000","LECT","MCS","50112","SVC","S",5
"คณะอักษรศาสตร์","2231601","RES METH",1,3,"1000","1200","DISC","MCS","50112","SVC","S",5
"คณะอักษรศาสตร์","2231625","SEM FR LANG",1,3,"0900","1000","LECT","MCS","50118","WKC,STAFF","S",5
"คณะอักษรศาสตร์","2231625","SEM FR LANG",1,3,"1000","1100","DISC","MCS","50118","WKC,STAFF","S",5
"คณะอักษรศาสตร์","2231625","SEM FR LANG",1,3,"1100","1200","SMNA","MCS","50118","WKC,STAFF","S",5
"คณะอักษรศาสตร์","2231715","FR LIT CRIT",1,3,"1300","1400","LECT","MCS","50112","WUS","S",5
"คณะอักษรศาสตร์","2231715","FR LIT CRIT",1,3,"1400","1600","DISC","MCS","50112","WUS","S",5
"คณะอักษรศาสตร์","2231797","INDIVIDUAL STUDY",1,3,"IA","IA","IDPS","IA","IA","JRP","S",5
"คณะอักษรศาสตร์","2231811","THESIS",1,12,"IA","IA","IDPS","IA","IA","STAFF","S",10
"คณะอักษรศาสตร์","2231897","QUALIFYING EXAM",1,0,"IA","IA","LECT","IA","IA","STAFF","S",1
"คณะอักษรศาสตร์","2232007","FUND GER I",1,3,"1300","1600","LECT","AR","AR","STAFF","I",30
"คณะอักษรศาสตร์","2232009","GER COMM",1,3,"1300","1500","LECT","MCS","501/2","WSP","S",35
"คณะอักษรศาสตร์","2232009","GER COMM",1,3,"1500","1600","DISC","MCS","501/2","WSP","S",35
"คณะอักษรศาสตร์","2232021","GER BEGINNERS I",1,3,"1300","1500","LECT","BRK","608","TKP","S",35
"คณะอักษรศาสตร์","2232021","GER BEGINNERS I",1,3,"1500","1600","DISC","BRK","608","TKP","S",35
"คณะอักษรศาสตร์","2232021","GER BEGINNERS I",2,3,"1300","1500","LECT","BRK","609","ACC","S",35
"คณะอักษรศาสตร์","2232021","GER BEGINNERS I",2,3,"1500","1600","DISC","BRK","609","ACC","S",35
"คณะอักษรศาสตร์","2232101","GER I",1,3,"0800","0900","DISC","BRK","411","ALS","S",15
"คณะอักษรศาสตร์","2232101","GER I",1,3,"0900","1100","PRAC","BRK","411","ALS","S",15
"คณะอักษรศาสตร์","2232101","GER I",1,3,"1300","1600","LECT","BRK","513","ACC","S",15
"คณะอักษรศาสตร์","2232101","GER I",1,3,"AR","AR","PRAC","AR","AR","ALS","S",15
"คณะอักษรศาสตร์","2232101","GER I",2,3,"0800","0900","DISC","BRK","409","ALS","S",15
"คณะอักษรศาสตร์","2232101","GER I",2,3,"0800","1000","PRAC","BRK","411","ALS","S",15
"คณะอักษรศาสตร์","2232101","GER I",2,3,"1300","1600","LECT","BRK","513","ACC","S",15
"คณะอักษรศาสตร์","2232101","GER I",2,3,"AR","AR","PRAC","AR","AR","ALS","S",15
"คณะอักษรศาสตร์","2232209","ADV GER I",1,3,"1300","1400","DISC","BRK","504","TKP","S",30
"คณะอักษรศาสตร์","2232209","ADV GER I",1,3,"1300","1600","LECT","BRK","412","AKR","S",30
"คณะอักษรศาสตร์","2232209","ADV GER I",1,3,"1400","1600","PRAC","BRK","504","STAFF","S",30
"คณะอักษรศาสตร์","2232211","INTRO GER TRANSL",1,3,"0900","1000","LECT","BRK","512","WSR","S",30
"คณะอักษรศาสตร์","2232211","INTRO GER TRANSL",1,3,"1000","1200","DISC","BRK","512","WSR","S",30
"คณะอักษรศาสตร์","2232214","GER WRIT I",1,3,"1300","1400","LECT","MCS","601/7","TKP","S",30
"คณะอักษรศาสตร์","2232214","GER WRIT I",1,3,"1400","1600","DISC","MCS","601/7","TKP","S",30
"คณะอักษรศาสตร์","2232312","READ GER LIT",1,3,"1300","1400","LECT","BRK","513","AKR","S",30
"คณะอักษรศาสตร์","2232312","READ GER LIT",1,3,"1400","1600","DISC","BRK","513","AKR","S",30
"คณะอักษรศาสตร์","2232314","GER WRIT II",1,3,"0930","1030","LECT","BRK","513","ALS","S",30
"คณะอักษรศาสตร์","2232314","GER WRIT II",1,3,"1030","1230","DISC","BRK","513","ALS","S",30
"คณะอักษรศาสตร์","2232317","GER TOUR I",1,3,"1300","1500","LECT","BRK","514","CMK","S",30
"คณะอักษรศาสตร์","2232317","GER TOUR I",1,3,"1500","1600","DISC","BRK","514","CMK","S",30
"คณะอักษรศาสตร์","2232326","GERMAN POETRY",1,3,"1300","1500","LECT","BRK","507","CMK","S",30
"คณะอักษรศาสตร์","2232326","GERMAN POETRY",1,3,"1500","1600","DISC","BRK","507","CMK","S",30
"คณะอักษรศาสตร์","2232334","GER BUS I",1,3,"1300","1500","LECT","BRK","413","ALS","S",30
"คณะอักษรศาสตร์","2232334","GER BUS I",1,3,"1500","1600","DISC","BRK","413","ALS","S",30
