FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2105221","CHE CHEM LAB",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",41,"S"
"คณะวิศวกรรมศาสตร์","2105222","CHE THERMO I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",44,"S"
"คณะวิศวกรรมศาสตร์","2105222","CHE THERMO I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",44,"S"
"คณะวิศวกรรมศาสตร์","2105331","CHE MATH II",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",45,"S"
"คณะวิศวกรรมศาสตร์","2105331","CHE MATH II",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",49,"S"
"คณะวิศวกรรมศาสตร์","2105332","CHE STAT",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","EN100","501",41,"S"
"คณะวิศวกรรมศาสตร์","2105332","CHE STAT",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","EN100","502",41,"S"
"คณะวิศวกรรมศาสตร์","2105352","UNIT OP II",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",45,"S"
"คณะวิศวกรรมศาสตร์","2105352","UNIT OP II",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",65,"S"
"คณะวิศวกรรมศาสตร์","2105373","CHEM ENG KIN REACT",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",45,"S"
"คณะวิศวกรรมศาสตร์","2105373","CHEM ENG KIN REACT",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","420",57,"S"
"คณะวิศวกรรมศาสตร์","2105463","CHE PROC",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","315",82,"S"
"คณะวิศวกรรมศาสตร์","2105464","CHEM PROC DSGN",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",45,"S"
"คณะวิศวกรรมศาสตร์","2105464","CHEM PROC DSGN",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",54,"S"
"คณะวิศวกรรมศาสตร์","2105472","PROC DYN CONTROL",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",51,"S"
"คณะวิศวกรรมศาสตร์","2105472","PROC DYN CONTROL",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",45,"S"
"คณะวิศวกรรมศาสตร์","2105480","SAFETY CHEM OPER",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",54,"S"
"คณะวิศวกรรมศาสตร์","2105480","SAFETY CHEM OPER",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",28,"S"
"คณะวิศวกรรมศาสตร์","2106296","ENGINEER GEOLOGY",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",40,"S"
"คณะวิศวกรรมศาสตร์","2107312","UNIT OP ENV ENG",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",44,"S"
"คณะวิศวกรรมศาสตร์","2107484","SOLID WASTE ENG",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",1,"S"
"คณะวิศวกรรมศาสตร์","2107484","SOLID WASTE ENG",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",40,"S"
"คณะวิศวกรรมศาสตร์","2108201","GEOS INFO SCI",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",28,"S"
"คณะวิศวกรรมศาสตร์","2108233","MATH TOOL GEOM",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",28,"S"
"คณะวิศวกรรมศาสตร์","2108298","SURVEYING",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",41,"S"
"คณะวิศวกรรมศาสตร์","2108298","SURVEYING",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",41,"S"
"คณะวิศวกรรมศาสตร์","2108301","SURV CONST APP",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",22,"S"
"คณะวิศวกรรมศาสตร์","2108311","GLOB GEOD",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",26,"S"
"คณะวิศวกรรมศาสตร์","2108325","GIS APP",2/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",22,"S"
"คณะวิศวกรรมศาสตร์","2108332","ADJUST COMP",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",22,"S"
